"Data Source","World Development Indicators",

"Last Updated Date","2021-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Jordan","JOR","Agricultural land (sq. km)","AG.LND.AGRI.K2","","10840","10860","10870","10910","10920","10940","10970","10990","11000","11040","11050","11090","11100","11140","11150","11170","11180","11220","11250","11270","11176","11241","11380","10501","11178","11258","11560","11650","11498","10402","10104","11207","10900","10720","11140","10510","10610","10660","10670","10690","10220","10250","10050","10370","10130","10180","9633","9725","10250","10023","10026","10449","10566","10640","10563","10659.6","10070","10218","","",
"Japan","JPN","Agricultural land (sq. km)","AG.LND.AGRI.K2","","71100","71200","70200","70300","70040","68960","68380","67970","66520","66960","65410","64840","64470","64150","62730","62360","62150","61940","61740","60610","60420","60260","60110","59960","58790","58580","58400","58170","57290","56930","56540","56150","55740","55330","54430","53990","53540","53100","52710","52580","47930","47630","47360","47140","46920","46710","46500","46280","46090","45930","45610","45490","45380","45180","44960","44710","44440","44200","","",
"Kazakhstan","KAZ","Agricultural land (sq. km)","AG.LND.AGRI.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2214630","2217470","2216510","2171865","2154736","2156918","2153298","2150753","2153933","2144856","2134689","2130014","2126705","2122860","2118765","2114356","2108514","2107833","2171618","2169885","2170121","2169941","2167994","2162597","2162421","2162138","2160365","","",
"Kenya","KEN","Agricultural land (sq. km)","AG.LND.AGRI.K2","","252000","252050","252100","252150","252200","252250","252300","252350","252400","252450","252500","252550","252600","252650","255720","255780","255800","255800","255800","255800","255800","255800","255800","255050","263540","263730","264350","266620","270530","267700","268770","270720","268400","272320","272180","264510","265940","264580","268760","266710","268390","268180","268740","269920","270020","270540","270700","270850","272850","273200","276300","277300","276300","276300","276300","276300","276300","276300","","",
"Kyrgyz Republic","KGZ","Agricultural land (sq. km)","AG.LND.AGRI.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100880","101200","103730","104390","106410","106610","106900","107260","107140","107760","107760","108400","107700","107450","107311","107286","107272","106173","106119","106085","105913","105567","105571","105562","105411","105401","105413","","",
"Cambodia","KHM","Agricultural land (sq. km)","AG.LND.AGRI.K2","","35180","35330","35420","35950","36270","36270","36290","35770","34770","34190","24500","24500","24500","25000","25000","25500","25500","26000","26000","26500","26500","26800","26900","26910","29900","32900","37000","41500","44350","44550","45100","45150","45310","45700","45700","45800","45800","46300","46400","47700","48900","50000","51000","52300","53560","53550","53550","53550","53550","54550","54550","54550","54550","54550","55660","55660","55660","55660","","",
"Kiribati","KIR","Agricultural land (sq. km)","AG.LND.AGRI.K2","","390","390","430","430","430","430","380","380","380","380","380","380","380","380","380","380","380","380","380","380","380","380","380","390","390","390","390","390","390","390","390","390","370","370","370","370","370","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","","",
"St. Kitts and Nevis","KNA","Agricultural land (sq. km)","AG.LND.AGRI.K2","","200","200","200","200","200","200","200","200","180","150","150","150","150","150","150","150","150","150","150","150","150","140","140","130","130","120","120","120","120","120","120","120","120","100","100","90","90","90","100","95","93","81","81","80.3","50","50.1","50.9","51","55","57","60","60","60","60","60","60","60","60","","",
"Korea, Rep.","KOR","Agricultural land (sq. km)","AG.LND.AGRI.K2","","21130","20810","21000","21910","22780","23150","23360","23430","23370","23240","22990","22700","22710","22680","22720","22700","22670","22630","22520","22470","22450","22430","22360","22290","22200","22170","22190","22140","21970","21790","21610","21360","21180","20960","20480","20080","19830","19690","19540","19730","19450","19190","19020","18930","18810","18580","18400","18170","17950","17730","17561","17880","17687","17483","17360","17008","16767","16520","","",
"Kuwait","KWT","Agricultural land (sq. km)","AG.LND.AGRI.K2","","1350","1350","1350","1350","1350","1350","1350","1350","1350","1350","1350","1350","1350","1350","1350","1350","1350","1350","1350","1350","1360","1360","1360","1370","1370","1380","1380","1410","1410","1410","1410","1410","1420","1420","1420","1430","1430","1430","1440","1480","1510","1510","1510","1500","1500","1500","1510","1510","1515","1520","1525","1520","1536","1521","1494","1500","1514","1500","","",
"Latin America & Caribbean (excluding high income)","LAC","Agricultural land (sq. km)","AG.LND.AGRI.K2","","5179980","5216550","5249130","5287710","5320740","5351420","5378450","5414670","5457770","5500510","5555760","5607440","5652430","5696049","5743570","5801810","5868710","5923680","5981192","6041977.08","6074666","6113506","6167406","6206257","6235375.07","6240034","6243290.6","6233909","6233317.4","6220451.9","6223446.62","6215894.98","6212670.52","6209424.82","6204522.15","6239251.28","6249984.81","6264776.14","6277075.27","6237529.5","6212748.35","6235605.82","6259159.23","6283560.9","6329928.75","6362850.6","6413053.45","6397026.3","6402170.85","6442585.7","6455355.64","6479629.48","6507194.32","6484156.5","6510687.6","6534387.6","6608703.7","6610009.71","","",
"Lao PDR","LAO","Agricultural land (sq. km)","AG.LND.AGRI.K2","","15500","15500","15000","14500","14500","14600","14600","14700","14720","14770","14820","15120","15320","15550","15680","15800","15900","15980","16050","16060","16090","16170","16200","16300","16350","16380","16400","16500","16520","16600","16620","16640","16650","16900","17000","17000","17560","17650","17730","18060","18410","18760","19110","19460","19850","20250","20630","21040","21680","22200","22765","22990","23350","24400","24940","24940","24440","23940","","",
"Lebanon","LBN","Agricultural land (sq. km)","AG.LND.AGRI.K2","","5620","5700","5700","5800","5960","5960","6060","6160","6200","6250","6300","6350","6450","6400","6350","6300","6250","6190","6130","6010","5980","5980","5980","5980","5990","6000","6040","6040","6040","6050","6060","6060","6060","6070","6090","6180","6220","6260","5825","5950","5980","6160","6270","6383","6530","6790","6771","6630","6630","6400","6510","6580","6580","6580","6580","6580","6580","6580","","",
"Liberia","LBR","Agricultural land (sq. km)","AG.LND.AGRI.K2","","25830","25810","25810","25780","25780","25750","25750","25730","25730","25710","25710","25710","25710","25710","25710","25710","25760","25760","25760","25760","25760","25800","25850","25860","25880","25970","26030","26000","26000","24930","11370.2","11672.8","11975.4","12278","12580.6","12883.2","13185.8","13488.4","13791","14093.6","14396.2","14698.8","15001.4","15304","15606.6","15909.2","16211.8","16514.4","16817","17119.6","17422.2","17724.8","18027.4","18330","18632.6","18935.2","19237.8","19540.4","","",
"Libya","LBY","Agricultural land (sq. km)","AG.LND.AGRI.K2","","111700","113830","115850","117930","119950","122030","124050","126150","128200","130250","132350","134380","136450","138480","140550","142580","144650","146730","148750","150800","151850","152920","154050","154150","154270","154350","154400","154400","154450","154550","154600","154650","154650","154750","155150","156660","156660","154500","154500","154500","154500","154500","154500","153850","153850","153850","153850","153850","153850","153510","153510","153550","153550","153500","153500","153500","153500","153500","","",
"St. Lucia","LCA","Agricultural land (sq. km)","AG.LND.AGRI.K2","","170","170","180","180","180","180","190","190","190","190","200","200","200","199","200","200","200","200","202","205","208","210","212","215","218","212","210","210","210","209","198","197","197","195","180","174","170","155","154","142","139","131","124","111","109","101","99","101","106","106","106","106","106","106","106","106","106","106","","",
"Latin America & Caribbean","LCN","Agricultural land (sq. km)","AG.LND.AGRI.K2","","5677657","5715417","5749397","5789657","5824247","5856477","5885647","5923767","5968597","6012987","6071077","6125047","6173017","6221046","6271647","6337707","6405337","6459507","6517129","6578064.08","6609533","6647673","6701823","6740954","6771942.07","6777971","6779217.6","6770056","6767324.4","6753088.9","6754883.62","6742441.98","6737447.52","6733991.82","6727969.15","6761858.28","6772341.81","6786978.14","6797501.27","6758393.5","6733885.35","6759363.82","6781493.23","6810388.2","6856229.75","6886445.7","6934491.35","6920651.3","6926215.85","6962438.7","6976597.64","6997574.48","7026445.32","7002709.5","7029410.6","7050594.6","7124553.7","7124884.71","","",
"Least developed countries: UN classification","LDC","Agricultural land (sq. km)","AG.LND.AGRI.K2","","6205550","6215060","6231970","6242320","6252130","6258340","6264160","6277540","6283610","6287070","6293380","6304130","6300570","6296680","6304650","6312940","6312520","6326510","6326570","6335060","6343340","6346476","6357362","6357938","6374674","6387410","6390476","6406312","6413918","6301513.9","6185746.47","6196945.24","6037424.01","6055467.28","6076970.5","6107843.72","6141437.04","6162650.26","6201813.48","6231419.7","6275958.42","6298433.54","6351902.96","6379495.88","6454772.5","6474595.62","6506867.34","6556973.06","6591597.08","6625220.9","7621719.14","7702052.12","7736243.82","7755728.26","7769776.599","7787227.1","7795629.7","7807096.32","","",
"Low income","LIC","Agricultural land (sq. km)","AG.LND.AGRI.K2","","4507930","4516160","4521750","4527630","4528680","4524740","4527420","4536770","4544600","4536480","4540260","4552560","4556470","4550570","4552880","4559370","4560750","4564410","4566940","4575390","4573180","4575460","4583190","4581790","4583550","4590890","4586700","4591440","4589790","4484850","4484470.2","4495412.8","4328915.4","4339292.5","4353489.55","4370596.6","4397393.65","4414450.7","4437277.75","4459734.8","4495316.91","4510421.42","4553750.23","4564142.54","4628438.55","4641698.06","4660686.17","4679207.28","4695133.39","4720266.9","5706473.52","5768323.94","5793226.96","5804403.78","5809957.1","5820113.2","5821847.1","5827777.42","","",
"Liechtenstein","LIE","Agricultural land (sq. km)","AG.LND.AGRI.K2","","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","80","80","80","80","70","70","70","70","70","70","70","70","70","70","70","69","69","69","69","69","68","68","68","65","63","60","60","56","53.2","51.6","51.6","51.6","51.6","","",
"Sri Lanka","LKA","Agricultural land (sq. km)","AG.LND.AGRI.K2","","17230","17070","20600","21030","21560","22050","22550","23210","23280","23330","23390","23450","23510","23570","23590","23960","24330","24690","23590","23490","23490","22960","23080","23110","23150","23260","23340","23370","23400","23390","23420","23440","23200","23230","23260","23270","23280","23290","23450","23500","23510","23560","23700","23100","25100","24400","23900","25950","25100","26200","27300","26900","27400","27400","27400","27500","27602","28116","","",
"Lower middle income","LMC","Agricultural land (sq. km)","AG.LND.AGRI.K2","","9071265.1","9095600","9129369.1","9159220.7","9205111.3","9195279.9","9228028.7","9237709.5","9280170.3","9276249.7","9291855.6","9265430","9333980","9303280","9307850","9164800","9136710","9144510","9140385","9159170","9099190","9147368.4","9142285.4","9210830.6","9285424","9349414","9408563","9431232","9469030","9465345.1","9373947.47","10221551.44","10216289.86","10241228.88","10272326.5","10296544.12","10430954.24","10453268.06","10505133.53","10521594.6","10551272.95","10570542.3","10456997.972","10511064","10344142.3498779","10363605.7001221","10397321.05","10431949.4001221","10471691.6118779","10482576.399939","10518777.76","10541387.9930122","10565874.1300732","10570107.64","10596690.0701343","10637250.9751343","10663255.896","10664470.158","","",
"Low & middle income","LMY","Agricultural land (sq. km)","AG.LND.AGRI.K2","","24459482.5","24554229.5","24660617.8","24755040.9","24868624.7","24926451.2","25026255.5","25125782.5","25277199.7","25352519.8","25472363.4","25567690.3","25748398.9","25822313.7","25917001.4","25902999.533","26003874.067","26136546.1","26247743.1","26381728.48","26405529.9","26582333.3","26741595.8","26967519.8","27205174.57","27349515","27481397.6","27560419","27660782.4","27571647.6","27548502.51","33456881.06","33296780.24","33362986.28","33367053","33390834.52","33571616.14","33610628.46","33690033.33","33695729.7","33730925.044","33781711.409","33726548.135","33804795.858","33748162.7718779","33834570.9871221","33924407.901","33947346.8161221","34010828.9918779","34160758.599939","35182267.92","35299763.7530122","35380733.3700732","35373517","35429754.2701343","35497434.9751343","35594392.106","35596776.298","","",
"Lesotho","LSO","Agricultural land (sq. km)","AG.LND.AGRI.K2","","25810","25760","25760","25780","25780","25830","25830","25330","24780","24270","23640","23590","23590","23590","23760","23590","22920","22930","23090","22960","23020","22920","22870","23010","23080","22910","23300","23430","23050","23210","23230","23360","23340","23290","23240","23260","23290","23290","23290","23340","23340","23040","23040","23140","23270","23070","23290","23620","23390","23260","23120","22853","22521","22763","22230","23560","24180","24333","","",
"Late-demographic dividend","LTE","Agricultural land (sq. km)","AG.LND.AGRI.K2","","8187847.4","8269259.5","8352878.7","8431390.2","8524283.4","8605771.3","8685076.8","8768593","8857329.4","8949520.1","9066127.8","9152260.3","9259420.9","9374353.7","9465594.4","9439578.533","9564575.067","9679939.1","9767113.1","9870903.48","9948742.9","10068933.9","10200130.4","10335268.2","10476040.57","10525675","10574348.6","10620091","10672778.4","10714781.3","10755141.81","15446506.96","15423107.29","15438847.62","15351972.95","15340932.28","15466115.11","15462982.94","15468126.77","15472665.8","15428164.654","15417647.509","15262728.085","15250346.218","15252736.172","15296934.927","15295593.781","15317946.236","15333020.252","15402857.2","15405820.1","15424537.273","15459817.8","15450291.2","15468984.8","15468128","15520974.41","15519654.99","","",
"Lithuania","LTU","Agricultural land (sq. km)","AG.LND.AGRI.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33890","33330","31260","34100","34110","34170","34250","34960","34180","28960","28850","25410","26043","28370","27907","26959","26721","26890","27723","28059","28422","28914","29524","30059","29539","29353","29470","","",
"Luxembourg","LUX","Agricultural land (sq. km)","AG.LND.AGRI.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1280","1280","1280","1280","1280","1290","1290","1310","1310","1307","1310.4","1312.7","1314.2","1308.8","1309.9","1312.7","1306.51","1311.58","1315.59","","",
"Latvia","LVA","Agricultural land (sq. km)","AG.LND.AGRI.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25300","25140","25400","18320","18740","17720","17490","16170","15880","15810","15950","15820","16420","17340","18550","18390","18250","18330","18050","18160","18410","18770","18720","18845","19310","19330","19380","","",
"Macao SAR, China","MAC","Agricultural land (sq. km)","AG.LND.AGRI.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Martin (French part)","MAF","Agricultural land (sq. km)","AG.LND.AGRI.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Morocco","MAR","Agricultural land (sq. km)","AG.LND.AGRI.K2","","233700","235800","238500","241100","244200","247380","249380","252380","254290","257050","268120","261700","264250","266300","269170","271500","275000","279180","280040","289300","290900","291770","292730","293840","293980","294970","296660","297440","300640","303430","303550","306160","307110","309640","307490","309660","308950","309760","306930","306520","303700","302830","308760","300410","299890","299460","299600","299810","300026","299883","301038","304030","305850","300825","300470","301000","300690","300690","","",
"Monaco","MCO","Agricultural land (sq. km)","AG.LND.AGRI.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Moldova","MDA","Agricultural land (sq. km)","AG.LND.AGRI.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25600","25570","25570","25560","25560","25560","25560","25570","25440","25390","25340","25280","25220","24990","24830","24850","24810","24720","24650","24620","24600","24610","23150","23180","23179","23173","22571","","",
"Madagascar","MDG","Agricultural land (sq. km)","AG.LND.AGRI.K2","","351450","351700","351950","352200","352450","352700","352950","353200","353500","353700","353900","354200","354400","354750","357590","357640","359290","360000","360200","360400","360750","361000","361350","361600","361950","362200","362400","362700","362950","363250","363500","363700","364900","364800","364800","365960","374900","384900","395000","405000","408430","408430","408430","408430","408930","408930","408930","408950","408950","408950","408950","408950","408950","408950","408950","408950","408950","408950","","",
"Maldives","MDV","Agricultural land (sq. km)","AG.LND.AGRI.K2","","50","50","50","50","50","50","50","50","50","50","60","60","70","70","70","70","70","70","70","70","70","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","90","100","120","120","110","90","80","80","80","80","79","79","79","79","79","79","79","79","79","","",
"Middle East & North Africa","MEA","Agricultural land (sq. km)","AG.LND.AGRI.K2","","2890240","2889290","2892120","2892960","2895530","2895600","2902140","2905520","2912640","2920450","2950960","2962840","2968120","2969830","2960500","2963830","2963080","2960210","2972040","2960480","2924016","2932353.4","2941537.4","3000203.6","3055618","3107528","3165480","3223760","3272478","3325842","3352474","3371679.8","3453491.8","3528846.6","3599660","3673984.6","3734539.2","3826376.2","3884795","3874692","3883911","3892161","3898986","3907421","3745204.99987793","3743707.50012207","3747974","3723948.60012207","3718645.59987793","3722439.29993896","3724262.6","3725964.80001221","3728359.05007324","3728111.2","3729702.27113428","3726874.25413428","3725381.096","3725802.358","","",
"Mexico","MEX","Agricultural land (sq. km)","AG.LND.AGRI.K2","","983160","981790","981090","980490","979790","979140","978390","977690","977090","976350","969380","971500","974000","975510","975510","975510","976010","981980","979980","981800","982100","983150","1010200","1010310","1014350","1014410","1025500","1030510","1040500","1051510","1061540","1061770","1061800","1061900","1061950","1063100","1063100","1063250","1063260","1063300","1065500","1065500","1065500","1065700","1065700","1065700","1067000","1038080","1033670","1028440","1030730","1021380","1015860","1014070","1032120","1049920","1069640","1068910","","",
"Marshall Islands","MHL","Agricultural land (sq. km)","AG.LND.AGRI.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","120","120","120","120","120","120","120","120","120","120","120","120","120","130","130","130","130","130","130","130","130","120","86","86","86","86","86","86","","",
"Middle income","MIC","Agricultural land (sq. km)","AG.LND.AGRI.K2","","19951552.5","20038069.5","20138867.8","20227410.9","20339944.7","20401711.2","20498835.5","20589012.5","20732599.7","20816039.8","20932103.4","21015130.3","21191928.9","21271743.7","21364121.4","21343629.533","21443124.067","21572136.1","21680803.1","21806338.48","21832349.9","22006873.3","22158405.8","22385729.8","22621624.57","22758625","22894697.6","22968979","23070992.4","23086797.6","23064032.31","28961468.26","28967864.84","29023693.78","29013563.45","29020237.92","29174222.49","29196177.76","29252755.58","29235994.9","29235608.134","29271289.989","29172797.905","29240653.318","29119724.2218779","29192872.9271221","29263721.731","29268139.5361221","29315695.6018779","29440491.699939","29475794.4","29531439.8130122","29587506.4100732","29569113.22","29619797.1701343","29677321.7751343","29772545.006","29768998.878","","",
"North Macedonia","MKD","Agricultural land (sq. km)","AG.LND.AGRI.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13070","12970","12960","12870","12900","12830","12910","12820","12350","12420","13340","13010","12620","12280","12240","10760","10630","10130","11190","11180","12670","12600","12610","12620","12650","12660","12640","","",
"Mali","MLI","Agricultural land (sq. km)","AG.LND.AGRI.K2","","316980","317030","317080","317130","317180","317220","317280","317280","317280","317780","317780","317780","317780","318280","318780","320770","320750","320750","320800","320800","320830","320830","320830","320830","321030","321060","321060","321230","321230","321280","321380","322400","331400","352500","354190","366500","376500","376500","376500","386000","392740","396840","407260","397910","403920","404660","405970","405510","410454","410510","416510","416510","412010","412010","412010","412010","412010","412010","","",
"Malta","MLT","Agricultural land (sq. km)","AG.LND.AGRI.K2","","180","170","160","150","140","140","140","140","140","140","140","140","140","140","130","130","140","140","140","130","130","130","130","130","130","130","130","130","130","130","130","130","130","130","110","110","100","90","90","90","100","100","104","100","93","92","93","93","93","103.3","103.3","103","102.3","102.3","102.3","103.8","103.8","103.8","","",
"Myanmar","MMR","Agricultural land (sq. km)","AG.LND.AGRI.K2","","104300","104700","105070","106200","105830","107400","107670","107680","107670","108010","108050","108050","103220","103330","103470","103620","103560","103670","103770","103850","104210","104410","104380","104220","104290","104350","104220","103730","103950","104280","104160","103980","104460","104210","104500","105040","105190","105130","106090","108120","109390","109250","109820","110820","112630","115970","119840","122770","124410","125260","125580","125490","125870","126320","127489.999","127600","128707","128890","","",
"Middle East & North Africa (excluding high income)","MNA","Agricultural land (sq. km)","AG.LND.AGRI.K2","","2008890","2007810","2010260","2010780","2013250","2012980","2019300","2022340","2029090","2036390","2066410","2077770","2082400","2083300","2073560","2076290","2074960","2071520","2082800","2070660","2033586","2041353.4","2048287.4","2055253.6","2058488","2058698","2064630","2071350","2068448","2069362","2093844","2111959.8","2123311.8","2128476.6","2129270","2133624.6","2124129.2","2135946.2","2123195","2111660","2120670","2127860","2133877","2142603","1980347.99987793","1979530.00012207","1983724","1960749.00012207","1958303.99987793","1962604.99993896","1964595","1966873.60001221","1969807.75007324","1966572.9","1967480.97113428","1964806.45413428","1962128.096","1962513.158","","",
"Montenegro","MNE","Agricultural land (sq. km)","AG.LND.AGRI.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5150","5140","5130","5140","5120","5130","5130","2231.3","2303.2","2314","2557","2563","2568","","",
"Mongolia","MNG","Agricultural land (sq. km)","AG.LND.AGRI.K2","","1406830","1406830","1406830","1406810","1406830","1406830","1406830","1406830","1406520","1406840","1406830","1406830","1406830","1406830","1406830","1255520","1259750","1259170","1247130","1245870","1245190","1245250","1249760","1246070","1245870","1245310","1248890","1252340","1255320","1256560","1261300","1235900","1191240","1184690","1184690","1184690","1288910","1291320","1302820","1304700","1301295","1301180","1142714.322","1141527","1139278","1147273","1146800","1145070","1142700.562","1142100.3","1141878","1140679.033","1140302.8","1136820","1136644.1","1135607.9","1134671.9","1134330","","",
"Northern Mariana Islands","MNP","Agricultural land (sq. km)","AG.LND.AGRI.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","40","40","40","40","40","40","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","","",
"Mozambique","MOZ","Agricultural land (sq. km)","AG.LND.AGRI.K2","","466490","466600","466700","466780","466880","466940","467200","468200","469240","470090","470090","470280","470800","470800","471000","471000","471000","471000","471000","471000","471500","472300","472300","473300","473800","474300","475300","475800","476300","352600","354790","356980","359170","361360","363550","365740","367930","370120","372310","374500","376715.86","378931.72","381147.58","383363.44","385579.3","387795.16","390011.02","392226.88","394442.74","396658.6","398722.88","400787.16","402851.44","404915.72","406980","410097.1","412314","414138.32","","",
"Mauritania","MRT","Agricultural land (sq. km)","AG.LND.AGRI.K2","","395220","395220","395230","395230","395230","395230","395230","395230","395330","395330","394930","394930","394800","394500","394460","394490","394500","394460","394490","394640","394840","395040","395240","395350","395550","395750","395950","396150","396350","396560","396660","396780","396900","397300","397600","397500","397500","397500","397500","397500","397120","396620","396620","396610","396610","396610","396610","396610","396510","397110","396610","396610","396610","396610","396610","396610","396610","396610","","",
"Mauritius","MUS","Agricultural land (sq. km)","AG.LND.AGRI.K2","","990","1000","1000","1000","1010","990","1050","1110","1110","1120","1120","1130","1130","1130","1130","1140","1140","1140","1140","1140","1140","1140","1140","1140","1140","1140","1140","1130","1120","1110","1100","1090","1070","1050","1040","1030","1020","1020","1000","1010","1020","1000","990","980","960","940","920","910","910","910","890","870","860","860","860","860","860","860","","",
"Malawi","MWI","Agricultural land (sq. km)","AG.LND.AGRI.K2","","32000","33000","33500","34000","36030","36530","36050","37070","37570","37070","38570","39070","39570","39600","39100","39120","39150","39680","39700","38300","39300","40300","39400","39900","40050","41050","41100","41150","41650","42180","43200","42700","42700","40700","42800","43800","44300","45800","46800","47300","48300","48300","49800","49800","51800","52850","49850","54350","54850","56850","55850","55850","56000","56500","56500","56500","56500","56500","","",
"Malaysia","MYS","Agricultural land (sq. km)","AG.LND.AGRI.K2","","30847.4","31509.5","32758.7","33380.2","34973.4","35081.3","35716.8","37003","37559.4","38850.1","39587.8","40800.3","41608.9","42214.7","43541.4","44396.2","45707.4","45936.1","48391.1","48861.4","50447.9","51077.9","52054.4","52161.2","54157.5","57199","60734","63838","67217","67566","67945","68065","68914","69909","69660","69611","69587","69447","69471","69387","69470","70375","71162.4","71317","71344.1","70752","71072","71504","72200","73893","75306","78292","80593","80890","85699.7","85710","85710","85710","","",
"North America","NAC","Agricultural land (sq. km)","AG.LND.AGRI.K2","","5093524","5062713","5041603","5021664","4994644","4992514","4988734","4992263","4987433","4975613","4963233","4953503","4942773","4932623","4932893","4933172.9","4931163","4905733","4901983","4898233","4894533","4926113","4925333","4924553","4923773","4922981.92","4879733","4880993","4882253","4883513","4884815.464","4868943","4843453","4824683","4814004","4774984","4761004","4758274","4751504","4756864","4762525.608","4751554","4749687","4747823","4745960","4734832","4728660","4703346","4678033","4652720","4627364","4608523.538","4614693","4620862","4627040","4633149","4638346.538","4640096.538","","",
"Namibia","NAM","Agricultural land (sq. km)","AG.LND.AGRI.K2","","386420","386420","386420","386460","386460","386460","386490","386490","386490","386510","386530","386530","386530","386530","386530","386550","386550","386560","386560","386570","386570","386570","386620","386620","386620","386620","386620","386620","386620","386620","386620","386620","387000","387500","388200","388200","388200","388200","388200","388200","388200","388200","388200","388200","388200","388200","388080","388080","388080","388090","388090","388090","388090","388090","388090","388100","388100","388100","","",
"New Caledonia","NCL","Agricultural land (sq. km)","AG.LND.AGRI.K2","","2610","2610","2610","2620","2620","2620","2620","2630","2630","2630","2630","2640","2640","2640","2640","2650","2650","2650","2650","2650","2650","2720","2800","2900","2780","2670","2560","2460","2360","2320","2290","2300","2300","2310","2330","2350","2380","2400","2430","2450","2480","2500","2436","2366","2301","2246","2181","2106","2056","1986","1903","1840.34","1837.3","1837.3","1840.3","1840.3","1840.3","1840.3","","",
"Niger","NER","Agricultural land (sq. km)","AG.LND.AGRI.K2","","315000","315000","315000","315000","315000","315000","315000","321770","321760","312000","312300","311770","308140","297800","297800","297800","297800","297800","299580","307200","302800","303600","310100","307800","307800","312800","310120","313000","314050","330470","341050","350000","350000","350000","360000","360000","360000","360000","370000","370000","380000","380000","384120","384720","429650","429890","437820","437820","437820","439820","444820","447820","456820","456820","456970","463970","466000","466000","","",
"Nigeria","NGA","Agricultural land (sq. km)","AG.LND.AGRI.K2","","531765.1","539000","560169.1","569710.7","590701.3","565059.9","582128.7","581719.5","638140.3","610304.7","594775.6","551500","603000","561500","551500","551500","504930","489550","482340","504380","472190","484030","486930","526060","549240","600010","603410","607880","611820","615860","639290","644470","650408.25","652041.3","653674.35","655307.4","656940.45","658573.5","660206.55","661839.6","663472.66","665105.72","666738.78","668371.84","670004.9","671637.96","673271.02","674904.08","676537.14","678170.2","679803.26","681436.32","683069.38","684702.44","686335.5","687968.521","689601.5","691234.5","","",
"Nicaragua","NIC","Agricultural land (sq. km)","AG.LND.AGRI.K2","","34300","34300","34680","34880","35180","35800","35800","35800","35850","35850","36050","36100","36200","36300","36300","36300","37300","37350","37400","37450","38270","38290","38300","38830","38550","38570","38890","39400","39930","40250","40600","41200","41900","42200","45530","46540","48080","49130","50180","51410","51750","52780","53360","52370","53060","52000","51850","51200","51050","50260","50709","51030","50650","50650","50650","50650","50650","50650","","",
"Netherlands","NLD","Agricultural land (sq. km)","AG.LND.AGRI.K2","","23140","23030","22890","22680","22550","22450","22390","22270","22100","21930","21280","21140","21010","20940","20820","20730","20600","20460","20340","20200","20110","20050","20090","20160","20190","20150","20140","20120","20040","20060","19910","19860","19880","19710","19640","19810","19660","19730","19670","19560","19310","19490","19230","19494","19377","19196","19144","19293","19174","18723","18584","18417","18476","18391","18460","18150","18190","18220","","",
"Norway","NOR","Agricultural land (sq. km)","AG.LND.AGRI.K2","","10340","10310","10280","10190","10110","10050","10000","9940","9860","9540","9310","9100","9040","9010","8980","8960","8990","9000","9540","9360","9360","9420","9450","9540","9570","9690","9700","9760","9910","9760","10100","10030","10130","10300","11270","11320","10380","10470","10380","10420","10470","10460","10400","10400","10360","10350","10320","10248","10142.6","10059","9990","9928","9871.428","9867.6","9860.3","9836.7","9851.1","9862.97","","",
"Nepal","NPL","Agricultural land (sq. km)","AG.LND.AGRI.K2","","35530","35530","35630","35530","35530","35530","35670","35670","35670","37020","37020","38220","39530","39940","40090","40250","40400","40550","40700","40850","41030","41066","41102","41138","41164","41320","41346","41382","41408","41444","41470","41582","41694","41806","41918","42030","42142","42254","42366","42491","42590","42410","42270","42180","42020","41850","41660","41520","41400","41260","41266","41210","41210","41210","41210","41210","41210","41210","","",
